fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol,predicted_vol,iv_diff,trade_signal,pnl,pnl_when_signal,return_when_signal
2022-12-31,2023-02-02,0.25,0.18,0.07,38.8889,0.17,0.0099999999999999,0.0588235294117645,2023-02-01,0.4053538511154799,0.333956868579283,0.52597,-0.47403,0.03971,0.03971,0.03099,0.03099,-1.00384,-0.99139,0.00281,-0.00295,1.28802,0.88266614888452,0.3888888888888889,0.3964186753034371,1.24899,0.8525713246965629,0.2318435999999999,0.3866489941642944,0.0843033382513714,0.3264625611678885,0.0884170023790303,0.72218,0.6484508444361843,1.959222,1.422978473787366,0.3355310058357056,0.6015239192909881,1.6327594388321116,1.469460178828844,105.0,4.15,3.95,810.0000000000001,110.25,103.38999938964844,161.00006103515625,-0.8012344925491899,0.073469387755102,1.019814493996254,1.0779499290366292,-0.21007007096337071,0,-648.9999389648439,-0.0,-0.0
2023-03-31,2023-04-27,0.31,0.21,0.1,47.619,0.25,-0.04,-0.16,2023-04-26,0.4659467275661974,0.4367392730591314,0.51791,-0.48209,0.04308,0.04308,0.03097,0.03097,-0.92843,-0.91454,0.00278,-0.00298,1.19046,0.7245132724338026,0.4761904761904762,0.4053538511154799,1.28802,0.88266614888452,0.2499966,0.4299746708104918,0.0402214595000201,0.3419787537859097,0.0984099221384701,0.95632,0.5323858080847016,1.68996,1.2644082847016709,0.526345329189508,0.5237496544111333,1.3479812462140903,1.3201828534912157,105.0,3.75,3.7,745.0,108.16000366210938,105.4499969482422,44.99969482421875,-0.9395977250681627,0.0688794355376846,0.4028119568979809,1.1166319274944483,-0.07382807250555179,0,-700.0003051757812,-0.0,-0.0
2023-06-30,2023-08-03,0.65,0.35,0.3,85.7143,0.31,0.0399999999999999,0.129032258064516,2023-08-02,0.3657275523927513,0.3196241883888137,0.5263,-0.4737,0.03523,0.03523,0.03778,0.03778,-1.13355,-1.11486,0.00344,-0.00357,1.19046,0.8247324476072487,0.8571428571428572,0.4659467275661974,1.19046,0.7245132724338026,0.416661,0.4229027198996178,0.048770414194536,0.3498389802786485,0.0966654517397303,1.19046,0.0965761391338511,1.553378,1.2338286516260404,0.7675572801003823,0.1337011908309018,1.2035390197213514,1.286793520608431,128.0,4.7,4.4,910.0,127.4800033569336,139.57000732421875,1157.000732421875,0.2714293762877746,0.0713837445902848,1.438338424678507,1.0520062030574968,-0.13845379694250326,0,247.00073242187486,0.0,0.0
2023-09-30,2023-10-26,0.94,0.58,0.36,62.069,0.65,-0.07,-0.1076923076923077,2023-10-25,0.3571492875015215,0.3629740316662085,0.53407,-0.46602,0.03193,0.03238,0.03572,0.03572,-1.24592,-1.21087,0.00327,-0.00336,1.38558,1.0284307124984786,0.6206896551724138,0.3657275523927513,1.19046,0.8247324476072487,0.8036363999999999,0.3981192187758774,0.0429638162341092,0.3583312679594793,0.0927400346092441,1.2607020000000002,0.0811570022856995,1.328994,0.995306890843221,0.8625827812241227,0.1101191902427326,0.9706627320405208,1.040974935264521,121.0,5.2,4.7,990.0,120.62999725341795,127.73999786376952,673.9997863769531,-0.3191921349727746,0.0820691388991927,0.90911631157669,1.0467145011266845,-0.3388654988733155,-1,-316.0002136230469,316.0002136230469,0.3191921349727746
2023-12-31,2024-02-01,1.0,0.8,0.2,25.0,0.94,-0.1399999999999999,-0.1489361702127658,2024-01-31,0.2480756347219045,0.2385276081096153,0.52439,-0.47577,0.0301,0.03062,0.04575,0.04575,-1.32795,-1.28305,0.00416,-0.00432,1.15144,0.9033643652780956,0.25,0.3571492875015215,1.38558,1.0284307124984786,0.921152,0.3684506106595709,0.0798320295236478,0.3581894580691783,0.0929258490853238,1.241192,0.0951888245541514,1.131926,0.7705401328822671,0.8727413893404291,0.1113012421097641,0.7737365419308219,0.7994389618392816,155.0,5.45,5.15,1060.0000000000002,155.8699951171875,171.80999755859375,1680.999755859375,0.585848826282429,0.068005391236656,1.5456517102887384,0.9761971391398625,-0.17524286086013752,0,620.9997558593748,0.0,0.0
2024-03-31,2024-04-30,0.98,0.82,0.16,19.5122,1.0,-0.18,-0.18,2024-04-29,0.3525658952750889,0.3662391940639732,0.54335,-0.45659,0.02145,0.02189,0.07513,0.07513,-0.92961,-0.88502,0.00991,-0.00979,0.97583,0.623264104724911,0.1951219512195122,0.2480756347219045,1.15144,0.9033643652780956,0.8001805999999999,0.3578930194914927,0.077177997385583,0.3722710068278935,0.0776897316835469,1.178754,0.1457525810406147,0.950467,0.5042132258182043,0.8208609805085073,0.1567118347198065,0.5781959931721066,0.4869886445483751,180.0,7.9,6.8,1470.0,181.08999633789065,186.2100067138672,621.0006713867188,-0.5775505636825042,0.0811751079423056,0.4425968382115809,1.0367566790005867,0.06092667900058668,0,-848.9993286132812,-0.0,-0.0
2024-06-30,2024-08-01,1.26,1.03,0.23,22.3301,0.98,0.05,0.0510204081632653,2024-07-31,0.2575270879367237,0.280500262110101,0.50633,-0.49415,0.02421,0.02461,0.05521,0.05521,-1.65603,-1.60176,0.00484,-0.00543,1.19046,0.9329329120632764,0.2233009708737864,0.3525658952750889,0.97583,0.623264104724911,1.2261738000000002,0.316209091565598,0.058171600187083,0.3730918811880449,0.0762767774787362,1.178754,0.1457525810406147,1.0675370000000002,0.3862074953254468,0.8625449084344019,0.1523350618862126,0.6944451188119551,0.4045098651473568,187.5,6.45,6.8,1325.0,189.2899932861328,167.89999389648438,1960.0006103515625,0.4792457436615566,0.0699984176129752,1.90353870769928,0.9815055399915295,-0.20895446000847062,0,635.0006103515625,0.0,0.0
2024-09-30,2024-10-31,1.43,1.14,0.29,25.4386,1.26,-0.1200000000000001,-0.0952380952380953,2024-10-30,0.2429887599028487,0.2199946393047681,0.52365,-0.47652,0.02466,0.02509,0.05682,0.05682,-1.62025,-1.56711,0.00517,-0.00537,1.13192,0.8889312400971513,0.2543859649122807,0.2575270879367237,1.19046,0.9329329120632764,1.2903888,0.2916613330676175,0.0579480738313192,0.3572820264836177,0.0856393499182817,1.1670460000000002,0.1469236760362364,1.178753,0.1178627296712367,0.8753846669323826,0.1510513518914052,0.8214709735163824,0.1459973137990642,192.5,6.65,6.2,1285.0000000000002,190.5099945068359,197.92999267578125,542.999267578125,-0.5774324765928989,0.0674505294762313,0.6065449125046366,0.9718824227147135,-0.16003757728528656,0,-742.0007324218752,-0.0,-0.0
2024-12-31,2025-02-06,1.86,1.4837,0.3763,25.3623,1.43,0.0537,0.0375524475524476,2025-02-05,0.2644156303683174,0.2144241940538278,0.54128,-0.45859,0.01971,0.02005,0.06937,0.06937,-2.01101,-1.94925,0.00653,-0.00633,1.15144,0.8870243696316826,0.2536227000067399,0.2429887599028487,1.13192,0.8889312400971513,1.7083915280000002,0.2731146016409767,0.0451820399872059,0.3356169102084271,0.0778992303013057,1.120218,0.0834691507085157,1.1904600000000003,0.1072658267006657,0.8471033983590234,0.1264706324486045,0.8548430897915731,0.1120928464173129,235.0,8.65,7.4,1605.0,238.0099945068359,229.1499938964844,585.0006103515625,-0.6355136384102414,0.067434142978979,0.60221346034338,0.9841091786601744,-0.16733082133982558,0,-1019.9993896484375,-0.0,-0.0
2025-03-31,2025-05-01,1.59,1.36,0.23,16.9118,1.86,-0.5,-0.2688172043010752,2025-04-30,0.3129447284399583,0.2967946593482158,0.50341,-0.49659,0.02538,0.02538,0.05446,0.05446,-1.57795,-1.55601,0.00476,-0.00538,1.15144,0.8384952715600418,0.1691176470588235,0.2644156303683174,1.15144,0.8870243696316826,1.5659584000000002,0.2860884203845874,0.0455070220463561,0.3272695155220791,0.0750814327845291,1.1202180000000002,0.0834691507085157,1.180705,0.1057769232604348,0.8341295796154127,0.1225219236220174,0.8534354844779208,0.1122128595712985,185.0,6.25,6.7,1295.0,190.6300048828125,189.97999572753903,497.99957275390625,-0.615444345363779,0.067932642649623,0.0542213050831069,1.016939392996598,-0.13450060700340205,0,-797.0004272460939,-0.0,-0.0
